CarModel        AgeOfCar        Price        OdoMeterReading                DealingType        GearSystem        NoOfOwners
Renault Captur 1.5 Diesel RXT        6        1031250        17500        Diesel        Direct Owner        Manual        First Owner
Mahindra XUV500 AT W10 AWD        7        1212498.75        74000        Diesel        Direct Owner        Automatic        Second Owner
Chevrolet Aveo U-VA 1.2 LS        14        162500        91293        Petrol        Broker        Manual        First Owner
Mahindra Scorpio M2DI        13        600000        94000        Diesel        Direct Owner        Manual        First Owner
Chevrolet Tavera LS B3 7 Seats BSII        18        187500        154000        Diesel        Direct Owner        Manual        First Owner
Tata Zest Revotron 1.2 XT        8        475000        21152        Petrol        Direct Owner        Manual        First Owner
Maruti 800 AC        15        112500        74000        Petrol        Direct Owner        Manual        Third Owner
Honda City i VTEC S        9        625000        64000        Petrol        Direct Owner        Manual        First Owner
Renault Duster 85PS Diesel RxL        10        562500        5000        Diesel        Broker        Manual        Second Owner
Maruti Zen Estilo Sports        15        175000        124000        Petrol        Direct Owner        Manual        First Owner
Hyundai Verna 1.6 VTVT        13        237500        42000        Petrol        Broker        Manual        First Owner
Hyundai i10 Magna        15        175000        107921        Petrol        Direct Owner        Manual        Second Owner
Renault Duster 85PS Diesel RxL Optional        11        468750        154000        Diesel        Direct Owner        Manual        First Owner
Ford EcoSport 1.5 Diesel Titanium Plus BSIV        5        1162500        24000        Diesel        Direct Owner        Manual        First Owner
Hyundai Verna 1.6 SX VTVT        10        531250        63319        Petrol        Broker        Manual        First Owner
Hyundai Verna VTVT 1.6 AT SX Option        6        1375000        14000        Petrol        Direct Owner        Automatic        First Owner
Hyundai Creta 1.6 CRDi SX Plus        8        1062500        88000        Diesel        Broker        Manual        First Owner
Hyundai i20 1.2 Sportz        10        468750        45041        Petrol        Broker        Manual        First Owner
Fiat Grande Punto Active (Diesel)        14        156250        99000        Diesel        Direct Owner        Manual        Second Owner
Hyundai Elite i20 Diesel Asta Option        4        1024998.75        44000        Diesel        Direct Owner        Manual        First Owner
Mahindra Scorpio S6 Plus 7 Seater        8        1112500        56000        Diesel        Broker        Manual        First Owner
Tata Indica Vista Aura 1.2 Safire        14        150000        84000        Petrol        Direct Owner        Manual        Second Owner
Nissan Terrano XL 85 PS        9        750000        31000        Diesel        Broker        Manual        First Owner
Maruti 800 AC BSIII        16        93750        94000        Petrol        Direct Owner        Manual        Second Owner
Maruti Ritz VDi        12        250000        124000        Diesel        Direct Owner        Manual        First Owner
Maruti 800 AC BSIII        14        137500        87000        Petrol        Direct Owner        Manual        Second Owner
BMW 5 Series 530i        17        600000        114000        Petrol        Direct Owner        Automatic        Second Owner
Tata Indica Vista Aqua 1.3 Quadrajet        13        137500        114000        Diesel        Direct Owner        Manual        Second Owner
Honda Amaze VX i-VTEC        5        850000        52600        Petrol        Broker        Manual        First Owner
Maruti S-Cross Alpha DDiS 200 SH        6        1250000        34000        Diesel        Direct Owner        Manual        First Owner
Maruti Ertiga SHVS VDI        6        981250        28000        Diesel        Direct Owner        Manual        First Owner
Hyundai EON LPG Magna Plus        11        212500        174000        LPG        Direct Owner        Manual        Third Owner
Maruti Alto 800 VXI        5        228750        44000        Petrol        Direct Owner        Manual        First Owner
Volvo XC 90 D5 Inscription BSIV        6        5625000        84000        Diesel        Direct Owner        Automatic        First Owner
Hyundai Santro Xing XL eRLX Euro III        17        125000        44000        Petrol        Direct Owner        Manual        Second Owner
Hyundai Grand i10 1.2 Kappa Asta        4        625000        34000        Petrol        Direct Owner        Manual        First Owner
Toyota Innova Crysta 2.4 VX MT BSIV        6        1625000        74000        Diesel        Direct Owner        Manual        First Owner
Volkswagen Polo 1.5 TDI Comfortline        8        562500        86695        Diesel        Broker        Manual        First Owner
Tata Safari Storme VX Varicor 400        7        1087498.75        84000        Diesel        Direct Owner        Manual        First Owner
Tata Nexon 1.2 Revotron XZ Plus        4        893750        12000        Petrol        Direct Owner        Manual        First Owner
Ford Figo Petrol EXI        9        437500        94000        Petrol        Direct Owner        Manual        Second Owner
Ford Ecosport 1.0 Ecoboost Titanium Optional        9        593750        69239        Petrol        Broker        Manual        First Owner
Tata Indica DLS        17        71250        84000        Diesel        Direct Owner        Manual        Second Owner
Hyundai i10 Sportz 1.1L        6        468750        14000        Petrol        Direct Owner        Manual        First Owner
Maruti Swift VDI        7        787500        59000        Diesel        Broker        Manual        First Owner
Maruti Ertiga VXI        8        781250        15918        Petrol        Trustmark Broker        Manual        First Owner
Chevrolet Cruze LTZ AT        11        448750        124000        Diesel        Direct Owner        Automatic        Third Owner
Hyundai Accent CRDi        17        212500        249244        Diesel        Direct Owner        Manual        Fourth & Above Owner
Maruti Vitara Brezza ZDi Plus AMT Dual Tone        5        1187500        19000        Diesel        Direct Owner        Automatic        First Owner
